;F, MHz;Eeq_max_ref, dBuV/m;AF;M0;MA_vert;MA_hor;Eeq_hor;Eeq_vert;Eeq max;delta;-6 dB;6 dB
220;100,0;84,71;14,26;117,895;48,027;64,812;81,17700000000002;64,392;81,17700000000002;-3,532999999999973;-6;6
221;101,0;84,83;13,8;117,856;50,514;67,123;83,067;66,45800000000001;83,067;-1,7630000000000052;-6;6
222;102,0;84,94;13,8;117,864;51,148;67,391;83,32700000000001;67,08399999999999;83,32700000000001;-1,6129999999999853;-6;6
223;103,0;85,05;13,8;117,915;49,74;65,633;81,51799999999997;65,625;81,51799999999997;-3,532000000000025;-6;6
224;104,0;85,15;13,8;117,897;48,941;64,849;80,75199999999998;64,844;80,75199999999998;-4,398000000000025;-6;6
225;105,0;85,25;13,8;117,882;49,693;65,847;81,76499999999997;65,61099999999998;81,76499999999997;-3,485000000000028;-6;6
226;106,0;85,35;13,8;117,859;51,513;68,098;84,03900000000002;67,45400000000001;84,03900000000002;-1,3109999999999786;-6;6
227;107,0;85,43;13,8;117,853;51,981;68,738;84,685;67,928;84,685;-0,7450000000000045;-6;6
228;108,0;85,52;13,8;117,829;50,319;67,141;83,11200000000002;66,29000000000002;83,11200000000002;-2,407999999999973;-6;6
229;109,0;85,59;13,8;117,853;49,429;66,542;82,489;65,376;82,489;-3,100999999999999;-6;6
230;110,0;85,67;13,34;117,812;50,181;67,654;83,182;65,70899999999999;83,182;-2,4879999999999995;-6;6
231;111,0;85,73;12,46;117,784;52,4;69,97;84,64599999999999;67,076;84,64599999999999;-1,0840000000000174;-6;6
232;112,0;85,79;12,46;117,754;54,087;70,816;85,52199999999999;68,79299999999998;85,52199999999999;-0,2680000000000149;-6;6
233;113,0;85,85;12,46;117,737;54,359;69,425;84,14800000000002;69,08200000000002;84,14800000000002;-1,7019999999999698;-6;6
234;114,0;85,9;12,46;117,696;54,39;68,522;83,286;69,154;83,286;-2,6140000000000043;-6;6
235;115,0;85,95;12,46;117,718;54,727;69,064;83,80599999999998;69,469;83,80599999999998;-2,1440000000000197;-6;6
236;116,0;85,99;12,46;117,7;55,791;70,699;85,459;70,55099999999999;85,459;-0,5309999999999917;-6;6
237;117,0;86,03;12,46;117,69;56,332;71,284;86,054;71,102;86,054;0,02400000000000091;-6;6
238;118,0;86,06;12,46;117,649;55,925;70,119;84,93;70,73600000000002;84,93;-1,1299999999999955;-6;6
239;119,0;86,09;12,46;117,705;57,369;69,776;84,531;72,124;84,531;-1,5589999999999975;-6;6
240;120,0;86,12;11,57;117,695;60,332;70,998;84,87299999999999;74,207;84,87299999999999;-1,247000000000014;-6;6
241;121,0;86,15;10,81;117,662;63,133;72,742;85,89000000000001;76,281;85,89000000000001;-0,2599999999999909;-6;6
242;122,0;86,17;10,81;117,644;64,291;72,901;86,06700000000001;77,457;86,06700000000001;-0,10299999999999443;-6;6
243;123,0;86,18;10,81;117,677;63,678;71,407;84,53999999999998;76,81099999999999;84,53999999999998;-1,640000000000029;-6;6
244;124,0;86,2;10,81;117,657;62,819;70,051;83,204;75,97200000000002;83,204;-2,9960000000000093;-6;6
245;125,0;86,21;10,81;117,647;62,5;69,768;82,931;75,663;82,931;-3,2789999999999964;-6;6
246;126,0;86,22;10,81;117,641;62,161;69,911;83,08;75,33;83,08;-3,1400000000000006;-6;6
247;127,0;86,22;10,81;117,61;60,858;69,42;82,62000000000002;74,058;82,62000000000002;-3,59999999999998;-6;6
248;128,0;86,22;10,81;117,593;59,623;68,877;82,09400000000001;72,83999999999999;82,09400000000001;-4,125999999999991;-6;6
249;129,0;86,22;10,81;117,596;59,52;68,961;82,17500000000001;72,73400000000001;82,17500000000001;-4,0449999999999875;-6;6
250;130,0;86,22;10,05;117,583;60,271;69,368;81,835;72,73800000000001;81,835;-4,385000000000005;-6;6
251;131,0;86,21;9,69;117,573;60,884;69,547;81,664;73,00100000000002;81,664;-4,545999999999992;-6;6
252;132,0;86,2;9,69;117,579;61,18;69,477;81,58800000000001;73,29100000000001;81,58800000000001;-4,611999999999995;-6;6
253;133,0;86,18;9,69;117,563;61,687;69,374;81,50099999999999;73,81400000000001;81,50099999999999;-4,679000000000016;-6;6
254;134,0;86,16;9,69;117,537;62,596;69,313;81,46599999999998;74,749;81,46599999999998;-4,694000000000017;-6;6
255;135,0;86,14;9,69;117,54;63,705;69,255;81,40499999999999;75,85499999999998;81,40499999999999;-4,735000000000014;-6;6
256;136,0;86,12;9,69;117,568;64,628;69,186;81,308;76,74999999999999;81,308;-4,811999999999998;-6;6
257;137,0;86,09;9,69;117,53;64,801;69,169;81,32899999999998;76,96099999999998;81,32899999999998;-4,761000000000024;-6;6
258;138,0;86,06;9,69;117,514;64,688;69,339;81,515;76,86399999999999;81,515;-4,545000000000002;-6;6
259;139,0;86,03;9,69;117,494;64,828;69,571;81,767;77,024;81,767;-4,263000000000005;-6;6
260;140,0;85,99;9,32;117,469;65,045;69,754;81,60500000000002;76,89600000000002;81,60500000000002;-4,384999999999977;-6;6
261;141,0;85,95;9,37;117,409;65,055;69,841;81,802;77,016;81,802;-4,147999999999996;-6;6
262;142,0;85,9;9,37;117,413;64,918;69,903;81,86000000000003;76,87500000000001;81,86000000000003;-4,039999999999978;-6;6
263;143,0;85,85;9,37;117,38;64,723;69,908;81,89800000000002;76,71300000000002;81,89800000000002;-3,9519999999999698;-6;6
264;144,0;85,8;9,37;117,343;64,708;70,046;82,073;76,735;82,073;-3,727000000000004;-6;6
265;145,0;85,75;9,37;117,309;64,914;70,442;82,50300000000001;76,975;82,50300000000001;-3,2469999999999857;-6;6
266;146,0;85,69;9,37;117,352;65,22;70,969;82,987;77,238;82,987;-2,703000000000003;-6;6
267;147,0;85,63;9,37;117,363;65,19;71,119;83,126;77,197;83,126;-2,5039999999999907;-6;6
268;148,0;85,56;9,37;117,368;64,833;70,837;82,839;76,83500000000001;82,839;-2,7210000000000036;-6;6
269;149,0;85,49;9,37;117,351;64,51;70,604;82,62299999999999;76,529;82,62299999999999;-2,8670000000000044;-6;6
270;150,0;85,41;9,41;117,364;64,457;70,729;82,77499999999998;76,50299999999999;82,77499999999998;-2,6350000000000193;-6;6
271;151,0;85,33;9,62;117,316;64,531;70,922;83,226;76,83500000000001;83,226;-2,103999999999999;-6;6
272;152,0;85,24;9,62;117,342;64,467;70,736;83,014;76,74499999999999;83,014;-2,225999999999999;-6;6
273;153,0;85,14;9,62;117,321;64,099;70,205;82,50399999999999;76,398;82,50399999999999;-2,63600000000001;-6;6
274;154,0;85,04;9,62;117,277;63,738;69,878;82,22099999999999;76,081;82,22099999999999;-2,819000000000017;-6;6
275;155,0;84,93;9,62;117,264;63,926;70,099;82,455;76,282;82,455;-2,4750000000000085;-6;6
276;156,0;84,82;9,62;117,272;64,444;70,383;82,73099999999998;76,79200000000002;82,73099999999998;-2,089000000000013;-6;6
277;157,0;84,69;9,62;117,229;64,795;70,234;82,62499999999999;77,18600000000002;82,62499999999999;-2,065000000000012;-6;6
278;158,0;84,55;9,62;117,238;64,841;69,841;82,22300000000001;77,22300000000001;82,22300000000001;-2,326999999999984;-6;6
279;159,0;84,41;9,62;117,259;64,814;69,648;82,009;77,175;82,009;-2,4009999999999962;-6;6
280;160,0;84,25;9,84;117,216;64,933;69,614;82,23800000000001;77,557;82,23800000000001;-2,0119999999999862;-6;6
281;161,0;84,07;10,0;117,185;65,41;69,495;82,31;78,225;82,31;-1,759999999999991;-6;6
282;162,0;83,88;10,0;117,235;66,022;68,899;81,664;78,78699999999999;81,664;-2,215999999999994;-6;6
283;163,0;83,68;10,0;117,222;66,35;67,932;80,71000000000002;79,128;80,71000000000002;-2,9699999999999847;-6;6
284;164,0;83,45;10,0;117,161;66,309;67,264;80,10300000000001;79,148;80,10300000000001;-3,346999999999994;-6;6
285;165,0;83,21;10,0;117,162;66,433;67,115;79,953;79,27099999999999;79,953;-3,256999999999991;-6;6
286;166,0;83,02;10,0;117,153;66,788;67,131;79,978;79,635;79,978;-3,0420000000000016;-6;6
287;167,0;83,28;10,0;117,107;67,21;67,174;80,06700000000001;80,10299999999998;80,10299999999998;-3,177000000000021;-6;6
288;168,0;83,54;10,0;117,065;67,657;67,215;80,15;80,59199999999998;80,59199999999998;-2,9480000000000217;-6;6
289;169,0;83,8;10,0;117,081;68,178;67,167;80,086;81,097;81,097;-2,703000000000003;-6;6
290;170,0;84,05;10,15;117,076;68,801;67,105;80,17900000000003;81,875;81,875;-2,174999999999997;-6;6
291;171,0;84,29;10,52;117,049;69,387;67,085;80,55599999999997;82,85799999999999;82,85799999999999;-1,4320000000000164;-6;6
292;172,0;84,53;10,52;117,021;69,759;67,094;80,59299999999999;83,25800000000001;83,25800000000001;-1,2719999999999914;-6;6
293;173,0;84,77;10,52;117,03;69,83;66,85;80,33999999999999;83,31999999999998;83,31999999999998;-1,450000000000017;-6;6
294;174,0;85,0;10,52;117,01;69,802;66,456;79,96600000000001;83,31200000000001;83,31200000000001;-1,6879999999999882;-6;6
295;175,0;85,22;10,52;117,006;69,703;66,105;79,61900000000001;83,217;83,217;-2,003;-6;6
296;176,0;85,44;10,52;116,977;69,645;65,887;79,42999999999999;83,18799999999997;83,18799999999997;-2,2520000000000238;-6;6
297;177,0;85,65;10,52;116,941;69,661;65,624;79,20299999999999;83,24;83,24;-2,410000000000011;-6;6
298;178,0;85,86;10,52;116,915;69,77;65,34;78,945;83,37499999999997;83,37499999999997;-2,485000000000028;-6;6
299;179,0;86,06;10,52;116,953;69,878;65,102;78,669;83,44499999999998;83,44499999999998;-2,6150000000000233;-6;6
